DIRECTORIO;SECUENCIA_P;TAM_HOGAR;ORDEN;P3271;P6040;P6050;P6070;P6090;P6100;P6110;P6120;P6160;P6170;P3041;P3042;P3042S1;P3042S2;CLASE;P400;P401;P402;P403;P404;P3564;P405;P408;P409;P410;P410S1;P411;P411S1;P412;P412S1;P413;P414;P415;P416;P420;P3131S1;P3131S1A1;P3131S1A2;P3131S2;P3131S2A1;P3131S2A2;P3131S3;P3131S3A1;P3131S3A2;P3132S1;P3132S1A1;P3132S1A2;P3132S2;P3132S2A1;P3132S2A2;P3132S3;P3132S3A1;P3132S3A2;P3133S1;P3133S1A1;P3133S1A2;P3133S2;P3133S2A1;P3133S2A2;P3133S3;P3133S3A1;P3133S3A2;P3134S1;P3134S1A1;P3134S1A2;P3134S2;P3134S2A1;P3134S2A2;P3134S3;P3134S3A1;P3134S3A2;P3135S1;P3135S1A1;P3135S1A2;P3135S2;P3135S2A1;P3135S2A2;P3135S3;P3135S3A1;P3135S3A2;P3136S1;P3136S1A1;P3136S1A2;P3136S2;P3136S2A1;P3136S2A2;P3136S3;P3136S3A1;P3136S3A2;P3137;P3137S1;P3137S2;P3138;P3138S1;P3138S2;P3139;P3139S1;P3139S2;P3141;P3141S1;P3141S2;P3142;P3142S1;P3142S2;P3143;P3143S1;P3143S2;P3144;P3144S1;P3144S2;P3145;P3145S1;P3145S2;P3502;P3502S1;P3502S2;P3503;P3503S1;P3503S2;P3504;P3504S1;P3504S2;P423;RAMA4D_R4;RAMA2D_R4;FEX_C;AREA;OFICIO_C8
7596069;1;5;4;1;11;8;6;1;3;;;1;1;1;3;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;20.209991201;44;
7596070;1;4;3;2;13;3;6;1;3;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;4;1;2;;;2;;;1;1;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;28.83243667;44;
7596072;1;4;3;1;10;3;6;1;3;;;1;1;1;3;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;20.176461868;44;
7596072;1;4;4;1;6;3;;1;3;;;2;1;1;2;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;20.176461868;44;
7596073;1;6;3;1;11;3;6;1;1;5;;1;1;2;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;3;1;2;;;2;;;2;;;2;;;2;;;1;3;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;13.998285269;44;
7596073;1;6;4;1;7;3;;1;1;5;;1;1;2;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;5;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;5;;;13.998285269;44;
7596073;1;6;5;1;6;3;;1;1;5;;2;2;;1;0;;1;6;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;5;;;13.998285269;44;
7596074;1;2;2;1;12;3;6;1;1;5;;1;1;2;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;22.364300378;44;
7596079;1;3;2;1;16;3;6;1;2;5;;1;1;1;5;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;3;1;2;;;2;;;1;1;1;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;28.711213448;44;
7596079;1;3;3;1;16;3;6;1;2;5;;1;1;1;5;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;3;2;2;;;2;;;1;1;2;2;;;2;;;1;4;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;28.711213448;44;
7596080;1;10;10;1;6;8;;1;3;;;2;1;1;2;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;14.430807783;44;
7596080;1;10;4;2;13;3;6;1;3;;;1;1;1;4;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;14.430807783;44;
7596080;1;10;6;1;9;8;;1;3;;;1;1;1;3;2;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;14.430807783;44;
7596083;1;5;3;1;12;3;6;1;3;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;27.039905146;44;
7596083;1;5;4;1;9;3;;1;3;;;1;1;1;3;2;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;27.039905146;44;
7596084;1;4;3;1;16;3;6;1;3;;;1;2;;4;3;;1;4;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;4;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;30.024357623;44;
7596084;1;4;4;1;6;3;;1;3;;;2;1;1;2;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;30.024357623;44;
7596085;1;6;1;2;17;1;4;1;3;;;1;2;;4;3;;1;4;2;;2;2;;;;;;;;;;;;;;;;1;7;2;2;;;2;;;1;1;3;2;;;2;;;1;7;2;2;;;2;;;1;7;12;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;29.58206126;44;
7596085;1;6;5;2;14;6;6;1;3;;;1;1;1;5;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;29.58206126;44;
7596085;1;6;6;2;12;6;6;2;;;;1;1;1;5;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;29.58206126;44;
7596086;1;5;3;2;13;6;6;1;3;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;40.443900563;44;
7596088;1;3;3;1;6;3;;2;;;;2;2;;1;0;;1;6;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;33.483732293;44;
7596090;1;4;3;1;15;3;6;1;3;;;1;1;1;4;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;169.19861525;50;
7596090;1;4;4;1;16;6;6;1;3;;;1;1;1;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;169.19861525;50;
7596091;1;3;3;2;7;3;;1;1;5;;1;1;1;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;4;;;107.17191503;50;
7596092;1;3;3;2;16;3;6;1;1;5;;1;1;1;6;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;5;1;2;;;2;;;2;;;2;;;2;;;1;5;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;149.70456976;50;
7596093;1;3;2;2;15;3;6;1;3;;;1;1;1;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;5;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;100.53420182;50;
7596093;1;3;3;1;12;3;6;1;3;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;100.53420182;50;
7596095;1;4;3;2;17;3;6;1;3;;;1;1;2;5;1;;1;3;2;;;2;;;;;;;;;;;;;;;;1;3;2;2;;;2;;;1;2;1;2;;;2;;;1;1;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;156.35163852;50;
7596095;1;4;4;1;16;3;6;1;3;;;1;1;2;5;1;;1;3;2;;;2;;;;;;;;;;;;;;;;1;3;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;156.35163852;50;
7596096;1;5;3;1;8;3;;2;;;;1;1;1;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;6;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;4;;;105.23913954;50;
7596096;1;5;4;1;6;3;;1;3;;;2;1;1;1;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;105.23913954;50;
7596096;1;5;5;1;6;3;;2;;;;2;2;;1;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;105.23913954;50;
7596097;1;6;3;2;16;3;6;1;3;;;1;1;1;4;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;3;1;2;;;2;;;1;1;3;2;;;2;;;1;3;2;2;;;2;;;1;4;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;42.782464677;99;
7596097;1;6;4;1;8;3;;1;3;;;1;1;1;3;2;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;42.782464677;99;
7596097;1;6;5;2;6;3;;1;3;;;2;1;1;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;42.782464677;99;
7596098;1;2;2;2;10;8;6;1;3;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;3;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;129.25592729;99;
7596102;1;4;4;2;17;3;6;1;3;;;1;1;1;8;1;239;1;3;2;;2;2;;;;;;;;;;;;;;;;1;4;1;2;;;2;;;1;1;3;2;;;2;;;1;4;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;115.58285142;99;
7596104;1;4;3;1;6;3;;1;3;;;2;1;1;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;113.8388641;99;
7596107;1;2;2;1;7;3;;1;1;5;;1;1;2;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;63.556881402;52;
7596110;1;7;3;1;17;3;6;1;1;5;;1;1;1;8;1;713;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;1;2;;;2;;;1;1;2;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;45.217238421;52;
7596110;1;7;4;1;15;3;6;1;1;5;;1;1;1;5;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;1;1;2;;;2;;;1;1;1;2;;;2;;;1;3;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;45.217238421;52;
7596110;1;7;5;1;12;3;6;1;1;5;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;1;1;1;2;;;2;;;1;3;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;45.217238421;52;
7596110;1;7;6;2;9;3;;1;1;5;;1;1;2;3;3;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;45.217238421;52;
7596110;1;7;7;2;7;3;;1;1;5;;1;1;2;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;45.217238421;52;
7596111;1;5;5;1;14;3;6;1;3;;;1;1;1;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;61.383439529;52;
7596113;1;2;2;1;12;8;6;1;3;;;1;1;1;3;5;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;1;1;1;1;1;2;;;2;;;2;;;2;;;1;1;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;65.111631854;52;
7596114;1;3;3;2;9;3;;1;1;5;;1;1;1;3;3;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;4;;;61.832683583;52;
7596115;1;4;3;1;17;3;6;1;2;5;;1;1;2;10;0;912;1;3;2;;2;2;;;;;;;;;;;;;;;;1;2;1;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;31.042762844;52;
7596116;1;4;3;2;14;3;6;1;1;5;;1;1;2;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;50.7664151;52;
7596116;1;4;4;2;8;3;;1;1;5;;1;1;2;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;50.7664151;52;
7596117;1;4;3;1;16;3;6;1;3;;;1;1;1;4;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;1;1;1;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;39.857812712;52;
7596118;1;3;3;1;13;8;6;1;3;;;1;1;1;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;3;2;2;;;2;;;2;;;2;;;2;;;1;7;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;53.660697043;52;
7596119;1;4;3;1;14;3;6;1;1;5;;1;1;2;4;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;5;1;2;;;2;;;2;;;2;;;2;;;1;5;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;71.114556953;52;
7596119;1;4;4;1;6;3;;1;1;5;;1;1;2;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;71.114556953;52;
7596120;1;3;2;1;15;3;6;1;3;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;2;3;2;;;2;;;1;1;2;2;;;2;;;1;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;46.520030795;52;
7596120;1;3;3;2;17;9;6;1;3;;;1;1;1;4;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;2;2;2;;;2;;;1;3;1;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;1;1;2;;;;46.520030795;52;
7596127;1;3;2;1;9;3;;1;3;;;1;1;1;3;3;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;4;;;60.094604249;52;
7596129;1;4;3;2;16;3;6;1;1;5;;1;1;1;5;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;80.371610275;52;
7596129;1;4;4;1;13;3;6;1;1;5;;1;1;1;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;80.371610275;52;
7596132;1;2;2;2;16;6;6;1;3;;;1;1;1;4;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;4;2;;;2;;;1;3;2;2;;;2;;;1;7;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;1;2;4;1;3;4;;;;40.863333543;52;
7596135;1;3;3;1;16;3;6;1;3;;;1;1;1;6;1;;1;3;2;;;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;5;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;43.0820266;52;
7596136;1;3;3;2;12;3;6;1;3;;;1;1;1;3;5;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;3;1;2;;;2;;;1;1;1;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;1;1;1;;;;54.300187993;52;
7596140;1;4;4;2;11;8;6;1;3;;;1;1;1;3;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;37.831514429;52;
7596146;1;4;3;2;5;3;;1;1;5;;2;1;2;2;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;50.7664151;52;
7596148;1;3;3;2;17;3;6;1;3;;;1;1;1;5;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;1;2;;;2;;;1;3;1;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;29.616987108;52;
7596149;1;3;2;1;15;3;6;1;1;5;;1;1;1;4;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;1;3;3;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;49.145875735;52;
7596150;1;3;2;1;10;3;6;1;3;;;1;1;1;3;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;1;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;53.296701788;52;
7596150;1;3;3;2;8;3;;1;3;;;1;1;1;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;53.296701788;52;
